year,state,state_po,county_name,office,candidate,party,candidatevotes,totalvotes,mode
2000,ALABAMA,AL,MADISON,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,62151,113318,TOTAL
2000,ALABAMA,AL,MADISON,US PRESIDENT,RALPH NADER,GREEN,1885,113318,TOTAL
2000,ALABAMA,AL,MADISON,US PRESIDENT,OTHER,OTHER,1083,113318,TOTAL
2000,ALABAMA,AL,MARENGO,US PRESIDENT,AL GORE,DEMOCRAT,4841,9608,TOTAL
2000,ALABAMA,AL,MARENGO,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4690,9608,TOTAL
2000,ALABAMA,AL,MARENGO,US PRESIDENT,RALPH NADER,GREEN,40,9608,TOTAL
2000,ALABAMA,AL,MARENGO,US PRESIDENT,OTHER,OTHER,37,9608,TOTAL
2000,ALABAMA,AL,MARION,US PRESIDENT,AL GORE,DEMOCRAT,4600,11756,TOTAL
2000,ALABAMA,AL,MARION,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6910,11756,TOTAL
2000,ALABAMA,AL,MARION,US PRESIDENT,RALPH NADER,GREEN,125,11756,TOTAL
2000,ALABAMA,AL,MARION,US PRESIDENT,OTHER,OTHER,121,11756,TOTAL
2000,ALABAMA,AL,MARSHALL,US PRESIDENT,AL GORE,DEMOCRAT,10381,27989,TOTAL
2000,ALABAMA,AL,MARSHALL,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,17084,27989,TOTAL
2000,ALABAMA,AL,MARSHALL,US PRESIDENT,RALPH NADER,GREEN,256,27989,TOTAL
2000,ALABAMA,AL,MARSHALL,US PRESIDENT,OTHER,OTHER,268,27989,TOTAL
2000,ALABAMA,AL,MOBILE,US PRESIDENT,AL GORE,DEMOCRAT,58640,139745,TOTAL
2000,ALABAMA,AL,MOBILE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,78162,139745,TOTAL
2000,ALABAMA,AL,MOBILE,US PRESIDENT,RALPH NADER,GREEN,1585,139745,TOTAL
2000,ALABAMA,AL,MOBILE,US PRESIDENT,OTHER,OTHER,1358,139745,TOTAL
2000,ALABAMA,AL,MONROE,US PRESIDENT,AL GORE,DEMOCRAT,3741,8951,TOTAL
2000,ALABAMA,AL,MONROE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,5153,8951,TOTAL
2000,ALABAMA,AL,MONROE,US PRESIDENT,RALPH NADER,GREEN,25,8951,TOTAL
2000,ALABAMA,AL,MONROE,US PRESIDENT,OTHER,OTHER,32,8951,TOTAL
2000,ALABAMA,AL,MONTGOMERY,US PRESIDENT,AL GORE,DEMOCRAT,40371,80328,TOTAL
2000,ALABAMA,AL,MONTGOMERY,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,38827,80328,TOTAL
2000,ALABAMA,AL,MONTGOMERY,US PRESIDENT,RALPH NADER,GREEN,677,80328,TOTAL
2000,ALABAMA,AL,MONTGOMERY,US PRESIDENT,OTHER,OTHER,453,80328,TOTAL
2000,ALABAMA,AL,MORGAN,US PRESIDENT,AL GORE,DEMOCRAT,16060,42681,TOTAL
2000,ALABAMA,AL,MORGAN,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,25774,42681,TOTAL
2000,ALABAMA,AL,MORGAN,US PRESIDENT,RALPH NADER,GREEN,450,42681,TOTAL
2000,ALABAMA,AL,MORGAN,US PRESIDENT,OTHER,OTHER,397,42681,TOTAL
2000,ALABAMA,AL,PERRY,US PRESIDENT,AL GORE,DEMOCRAT,4020,5787,TOTAL
2000,ALABAMA,AL,PERRY,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1732,5787,TOTAL
2000,ALABAMA,AL,PERRY,US PRESIDENT,RALPH NADER,GREEN,18,5787,TOTAL
2000,ALABAMA,AL,PERRY,US PRESIDENT,OTHER,OTHER,17,5787,TOTAL
2000,ALABAMA,AL,PICKENS,US PRESIDENT,AL GORE,DEMOCRAT,4143,8540,TOTAL
2000,ALABAMA,AL,PICKENS,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4306,8540,TOTAL
2000,ALABAMA,AL,PICKENS,US PRESIDENT,RALPH NADER,GREEN,39,8540,TOTAL
2000,ALABAMA,AL,PICKENS,US PRESIDENT,OTHER,OTHER,52,8540,TOTAL
2000,ALABAMA,AL,PIKE,US PRESIDENT,AL GORE,DEMOCRAT,4357,10544,TOTAL
2000,ALABAMA,AL,PIKE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6058,10544,TOTAL
2000,ALABAMA,AL,PIKE,US PRESIDENT,RALPH NADER,GREEN,75,10544,TOTAL
2000,ALABAMA,AL,PIKE,US PRESIDENT,OTHER,OTHER,54,10544,TOTAL
2000,ALABAMA,AL,RANDOLPH,US PRESIDENT,AL GORE,DEMOCRAT,3094,7919,TOTAL
2000,ALABAMA,AL,RANDOLPH,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4666,7919,TOTAL
2000,ALABAMA,AL,RANDOLPH,US PRESIDENT,RALPH NADER,GREEN,60,7919,TOTAL
2000,ALABAMA,AL,RANDOLPH,US PRESIDENT,OTHER,OTHER,99,7919,TOTAL
2000,ALABAMA,AL,RUSSELL,US PRESIDENT,AL GORE,DEMOCRAT,8396,14775,TOTAL
2000,ALABAMA,AL,RUSSELL,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6198,14775,TOTAL
2000,ALABAMA,AL,RUSSELL,US PRESIDENT,RALPH NADER,GREEN,109,14775,TOTAL
2000,ALABAMA,AL,RUSSELL,US PRESIDENT,OTHER,OTHER,72,14775,TOTAL
2000,ALABAMA,AL,ST. CLAIR,US PRESIDENT,AL GORE,DEMOCRAT,6485,24090,TOTAL
2000,ALABAMA,AL,ST. CLAIR,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,17117,24090,TOTAL
2000,ALABAMA,AL,ST. CLAIR,US PRESIDENT,RALPH NADER,GREEN,221,24090,TOTAL
2000,ALABAMA,AL,ST. CLAIR,US PRESIDENT,OTHER,OTHER,267,24090,TOTAL
2000,ALABAMA,AL,SHELBY,US PRESIDENT,AL GORE,DEMOCRAT,13183,62128,TOTAL
2000,ALABAMA,AL,SHELBY,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,47651,62128,TOTAL
2000,ALABAMA,AL,SHELBY,US PRESIDENT,RALPH NADER,GREEN,812,62128,TOTAL
2000,ALABAMA,AL,SHELBY,US PRESIDENT,OTHER,OTHER,482,62128,TOTAL
2000,ALABAMA,AL,SUMTER,US PRESIDENT,AL GORE,DEMOCRAT,4415,6088,TOTAL
2000,ALABAMA,AL,SUMTER,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1629,6088,TOTAL
2000,ALABAMA,AL,SUMTER,US PRESIDENT,RALPH NADER,GREEN,20,6088,TOTAL
2000,ALABAMA,AL,SUMTER,US PRESIDENT,OTHER,OTHER,24,6088,TOTAL
2000,ALABAMA,AL,TALLADEGA,US PRESIDENT,AL GORE,DEMOCRAT,11264,25451,TOTAL
2000,ALABAMA,AL,TALLADEGA,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,13807,25451,TOTAL
2000,ALABAMA,AL,TALLADEGA,US PRESIDENT,RALPH NADER,GREEN,184,25451,TOTAL
2000,ALABAMA,AL,TALLADEGA,US PRESIDENT,OTHER,OTHER,196,25451,TOTAL
2000,ALABAMA,AL,TALLAPOOSA,US PRESIDENT,AL GORE,DEMOCRAT,6183,16253,TOTAL
2000,ALABAMA,AL,TALLAPOOSA,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,9805,16253,TOTAL
2000,ALABAMA,AL,TALLAPOOSA,US PRESIDENT,RALPH NADER,GREEN,153,16253,TOTAL
2000,ALABAMA,AL,TALLAPOOSA,US PRESIDENT,OTHER,OTHER,112,16253,TOTAL
2000,ALABAMA,AL,TUSCALOOSA,US PRESIDENT,AL GORE,DEMOCRAT,24614,60114,TOTAL
2000,ALABAMA,AL,TUSCALOOSA,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,34003,60114,TOTAL
2000,ALABAMA,AL,TUSCALOOSA,US PRESIDENT,RALPH NADER,GREEN,1007,60114,TOTAL
